,Star Name,Distance,Mass,Radius
139,2MASS J04390101-2353083 [de],29.5,48,0.97
140,2MASS J04433764+0002040,82,22,1.78
141,2MASS J04455387-3048204 [de],42,64,1.00
142,2MASS J04510093-3402150 [de],69,1.04,72
143,2MASS J05002100+0330501 [de],44,64,1.00
144,2MASS J05012406-0010452 [de],64,21,1.38
145,2MASS J05160945-0445499 [de],73,47,0.97
146,2MASS J0523−1403,40,68,1.01
147,SDSS J053951.99-005902.0,41.62,61,1.01
148,LSR 0602+3910 [de],34.6,28,1.41
149,2MASS J06085283-2753583,102,38,1.51
150,2MASS J06244595-4521548 [de],39,56,0.99
151,2MASS J06411840-4322329 [de],65,67,1.01
152,DENIS-P J0652197-253450 [de],51,75,1.05
153,2MASS J07075327-4900503,60,72,1.03
154,UGPS J072227.51-054031.2,13.4,26,0.98
155,2MASSI J0727182+171001 [de],29.6,41,0.94
156,2MASS J07290002-3954043 [de],25.8,37,0.94
157,SDSS J074201.41+205520.5 [de],49,43,0.94
158,DENIS-P J0751164-253043 [de],55,71,1.03
159,2MASS J07522390+1612157,60,2.01,68
160,DENIS J081730.0-615520,16.1,44,0.94
161,2MASS J08251968+2115521 [de],35,52,0.98
162,SDSSp J083008.12+482847.4 [de],43,48,0.99
163,LHS 2021,55,88,1.15
164,SDSS J083048.80+012831.1 [de],77,46,0.96
165,2MASSI J0835425-081923 [de],23.53,62,1.00
166,2MASSI J0847287-153237 [de],43,64,1.00
167,2MASS J08533619-0329321,27.6,77,1.07
168,2MASSI J0859254-194926 [de],50,50,0.98
169,2MASSI J0937347+293142,20.0,42,0.94
170,2MASS 0939−2448,17.4,32,0.95
171,2MASS J09490860-1545485 [de],59,49,0.96
172,2MASS J10073369-4555147,46,44,0.94
173,2MASSI J1010148-040649 [de],55,51,0.98
174,2MASS J10224821+5825453 [de],60,27,1.41
175,2MASSW J1036530-344138 [de],53,49,0.97
176,2MASS J1047538+212423 [de],34.4,42,0.94
177,DEN 1048-3956,13.15,77,1.07
178,Luhman 16B,6.516,43,1.02
179,Luhman 16A,6.516,40,1.01
180,DENIS-P J1058.7−1548,49,64,1.00
181,TWA 28,180,36,2.39
182,Cha 110913-773444,163,8,1.8
183,SDSS J111010.01+011613.1,63,9,1.24
184,2MASS J11145133−2618235,18.2,33,0.96
185,TWA 26,137,30,2.20
186,2MASS J11544223-3400390 [de],129,37,1.50
187,2MASSW J1155395-372735 [de],31,64,1.00
188,2MASS J12074836-3900043,217,17,1.71
189,2MASSI J1217110-031113 [de],36,42,0.94
190,2M 1237+6526,45.6,41,0.94
191,TWA 29,262,2.00,25
192,SDSSp J125453.90-012247.4 [de],38,47,0.98
193,Kelu-1A,61,63,0.98
194,Kelu-1B,61,58,0.98
195,2MASS J13204427+0409045,101,67,1.01
196,SDSSp J132629.82-003831.5 [de],65,51,0.97
197,SDSSp J134646.45-003150.4 [de],48,44,0.94
198,2MASS J13595510-4034582,51,63,1.00
199,ULAS J141623.94+134836.3,29.7,32,0.96
200,SDSS J141659.78+500626.4 [de],149,59,0.99
201,DENIS-P J142527.97-365023.4 [de],38,21,1.32
202,LHS 2924,38.5,76,1.06
203,2MASS J14392837+1929150,47,72,1.03
204,LSPM J1440+1339,72,92,1.19
205,2MASS J14482563+1031590 [de],47,59,0.99
206,CFBDSIR 1458+10A,104,11.1,1.5
207,CFBDSIR 1458+10B,104,9,1.3
208,TVLM 513-46546,35.1,75,1.05
209,2MASS 1503+2525,20.7,44,0.94
210,CFBDS J150411+102717,71,44,0.94
211,2MASSW J1506544+132106 [de],46,69,1.02
212,2MASS 1507−1627,23.9,60,0.99
213,TVLM 868-110639,53,79,1.08
214,2MASSW J1515008+484742 [de],34,57,0.99
215,2MASSI J1526140+204341 [de],67,54,0.98
216,DENIS-P J153941.96-052042.4 [de],51,63,1.00
217,2MASS J15462718-3325111 [de],37,44,0.94
218,2MASSW J1552591+294849 [de],68,30,1.43
219,2MASSW J1555157-095605 [de],44,71,1.03
220,2MASS J16150413+1340079 [de],48,42,0.94
221,SDSSp J162414.37+002915.6 [de],36,43,0.94
222,2MASS J16262034+3925190 [de],110,71,1.03
223,2MASSW J1632291+190441 [de],50,49,0.97
224,WISEPA J164715.59+563208.2,28,41,0.94
225,LSPM J1658+7027 [de],60,73,1.04
226,2MASSI J1726000+153819,114,24,1.40
227,SDSSp J175032.96+175903.9,90,47,0.97
228,2MASS J18283572-4849046,39,45,0.95
229,LSR J1835+3259,18.5,77,1.07
230,2MASSW J1841086+311727,138,67,1.01
231,2MASS J18432213+4040209,46,96,1.22
232,2MASS J20004841-7523070,105,25,1.88
233,SDSS J204749.61-071818.3,65,46,0.96
234,2MASSI J2057540-025230,47,70,1.02
235,2MASSI J2104149-103736,62,69,1.02
236,PSO J318.5−22,80,6.5,1.53
237,HB 2124-4228,113,94,1.21
238,2MASS J21392676+0220226,32.1,46,0.96
239,2MASS J21481628+4003593,26.3,55,0.99
240,2MASSW J2206450-421721,93,22,1.33
241,2MASSW J2208136+292121,154,27,1.41
242,2MASSW J2224438-015852,38,61,0.99
243,2MASS J22282889-4310262,35,42,0.94
244,2MASS J22373255+3922398,64,73,1.04
245,2MASSW J2244316+204343,56,12,1.29
246,2MASS J23224684-3133231,56,24,1.39
247,2MASS J23225299-6151275,148,17,1.59
248,2MASS J23515044-2537367,67,88,1.16
249,2MASSI J2356547-155310,74,80,1.09
250,WISE 0410+1502,20,6,1.17
251,WISE 0458+6434A,35.9,15,4.2
252,WISE 0458+6434B,35.9,10,3.8
253,WISE 1405+5534,25.3,30,0.86
